reaction_time:458ship_height:500,[0.0300632]
reaction_time:459ship_height:500,[0.03517933]
reaction_time:460ship_height:500,[0.04009917]
reaction_time:461ship_height:500,[0.03740727]
reaction_time:462ship_height:500,[0.04830026]
reaction_time:463ship_height:500,[0.04511731]
reaction_time:464ship_height:500,[0.03751459]
reaction_time:465ship_height:500,[0.04013624]
reaction_time:466ship_height:500,[0.03690949]
reaction_time:467ship_height:500,[0.03595195]
reaction_time:468ship_height:500,[0.04009396]
reaction_time:469ship_height:500,[0.04620783]
reaction_time:470ship_height:500,[0.03849394]
reaction_time:471ship_height:500,[0.03680489]
reaction_time:472ship_height:500,[0.03777332]
reaction_time:473ship_height:500,[0.04503731]
reaction_time:474ship_height:500,[0.04495837]
reaction_time:475ship_height:500,[0.04913449]
reaction_time:476ship_height:500,[0.03611923]
reaction_time:477ship_height:500,[0.0396964]
reaction_time:478ship_height:500,[0.04817867]
reaction_time:479ship_height:500,[0.03847528]
reaction_time:480ship_height:500,[0.04531778]
reaction_time:481ship_height:500,[0.03867193]
reaction_time:482ship_height:500,[0.04376877]
reaction_time:483ship_height:500,[0.04425083]
reaction_time:484ship_height:500,[0.04645759]
reaction_time:485ship_height:500,[0.03626274]
reaction_time:486ship_height:500,[0.03860536]
reaction_time:487ship_height:500,[0.04348076]
reaction_time:488ship_height:500,[0.03978741]
reaction_time:489ship_height:500,[0.04263366]
reaction_time:490ship_height:500,[0.04281783]
reaction_time:491ship_height:500,[0.0394361]
reaction_time:492ship_height:500,[0.04635794]
reaction_time:493ship_height:500,[0.04061963]
reaction_time:494ship_height:500,[0.04321017]
reaction_time:495ship_height:500,[0.04161165]
reaction_time:496ship_height:500,[0.04489448]
reaction_time:497ship_height:500,[0.04227744]
reaction_time:498ship_height:500,[0.04749547]
reaction_time:499ship_height:500,[0.04740913]
reaction_time:500ship_height:500,[0.04848959]
reaction_time:501ship_height:500,[0.04441792]
reaction_time:502ship_height:500,[0.04620134]
reaction_time:503ship_height:500,[0.04534732]
reaction_time:504ship_height:500,[0.04369393]
reaction_time:505ship_height:500,[0.04070157]
reaction_time:506ship_height:500,[0.04136478]
reaction_time:507ship_height:500,[0.05676335]
reaction_time:508ship_height:500,[0.04100693]
reaction_time:509ship_height:500,[0.04009635]
reaction_time:510ship_height:500,[0.04282347]
reaction_time:511ship_height:500,[0.0467597]
reaction_time:512ship_height:500,[0.04437439]
reaction_time:513ship_height:500,[0.05156943]
reaction_time:514ship_height:500,[0.04157898]
reaction_time:515ship_height:500,[0.0367409]
reaction_time:516ship_height:500,[0.04802781]
reaction_time:517ship_height:500,[0.04620054]
reaction_time:518ship_height:500,[0.04772041]
reaction_time:519ship_height:500,[0.05130154]
reaction_time:520ship_height:500,[0.04449401]
reaction_time:521ship_height:500,[0.04484612]
reaction_time:522ship_height:500,[0.0393424]
reaction_time:523ship_height:500,[0.046603]
reaction_time:524ship_height:500,[0.03558044]
reaction_time:525ship_height:500,[0.0451345]
reaction_time:526ship_height:500,[0.04395811]
reaction_time:527ship_height:500,[0.04774464]
reaction_time:528ship_height:500,[0.04009317]
reaction_time:529ship_height:500,[0.0425065]
reaction_time:530ship_height:500,[0.04733135]
reaction_time:531ship_height:500,[0.04470717]
reaction_time:532ship_height:500,[0.04741963]
reaction_time:533ship_height:500,[0.04621039]
reaction_time:534ship_height:500,[0.03553446]
reaction_time:535ship_height:500,[0.0401766]
reaction_time:536ship_height:500,[0.0442095]
reaction_time:537ship_height:500,[0.04011889]
reaction_time:538ship_height:500,[0.03959663]
reaction_time:539ship_height:500,[0.03916356]
reaction_time:540ship_height:500,[0.0492511]
reaction_time:541ship_height:500,[0.04414223]
reaction_time:542ship_height:500,[0.05514884]
reaction_time:543ship_height:500,[0.05419525]
reaction_time:544ship_height:500,[0.05141239]
reaction_time:545ship_height:500,[0.0471543]
reaction_time:546ship_height:500,[0.03770096]
reaction_time:547ship_height:500,[0.03670242]
reaction_time:548ship_height:500,[0.04292724]
reaction_time:549ship_height:500,[0.05071226]
reaction_time:550ship_height:500,[0.04269851]
reaction_time:551ship_height:500,[0.04066902]
reaction_time:552ship_height:500,[0.04399437]
reaction_time:553ship_height:500,[0.04618238]
reaction_time:554ship_height:500,[0.04208655]
reaction_time:555ship_height:500,[0.04740079]
reaction_time:556ship_height:500,[0.04826863]
reaction_time:557ship_height:500,[0.03808443]
reaction_time:558ship_height:500,[0.05127265]
reaction_time:559ship_height:500,[0.04465407]
reaction_time:560ship_height:500,[0.04201756]
reaction_time:561ship_height:500,[0.04274287]
reaction_time:562ship_height:500,[0.04614846]
reaction_time:563ship_height:500,[0.05441731]
reaction_time:564ship_height:500,[0.04408396]
reaction_time:565ship_height:500,[0.04040144]
reaction_time:566ship_height:500,[0.05639688]
reaction_time:567ship_height:500,[0.04059898]
reaction_time:568ship_height:500,[0.05381078]
reaction_time:569ship_height:500,[0.04185561]
reaction_time:570ship_height:500,[0.04742604]
reaction_time:571ship_height:500,[0.05077684]
reaction_time:572ship_height:500,[0.03870554]
reaction_time:573ship_height:500,[0.04854466]
reaction_time:574ship_height:500,[0.04379987]
reaction_time:575ship_height:500,[0.04728898]
reaction_time:576ship_height:500,[0.05063855]
reaction_time:577ship_height:500,[0.04412387]
reaction_time:578ship_height:500,[0.03892425]
reaction_time:579ship_height:500,[0.04821511]
reaction_time:580ship_height:500,[0.04725211]
reaction_time:581ship_height:500,[0.04871142]
reaction_time:582ship_height:500,[0.04667853]
reaction_time:583ship_height:500,[0.05266152]
reaction_time:584ship_height:500,[0.04652003]
reaction_time:585ship_height:500,[0.05215589]
reaction_time:586ship_height:500,[0.04445469]
reaction_time:587ship_height:500,[0.05210058]
reaction_time:588ship_height:500,[0.04648033]
reaction_time:589ship_height:500,[0.0498265]
reaction_time:590ship_height:500,[0.05140967]
reaction_time:591ship_height:500,[0.04540696]
reaction_time:592ship_height:500,[0.04774723]
reaction_time:593ship_height:500,[0.04707129]
reaction_time:594ship_height:500,[0.04537477]
reaction_time:595ship_height:500,[0.05233039]
reaction_time:596ship_height:500,[0.04646235]
reaction_time:597ship_height:500,[0.04873735]
reaction_time:598ship_height:500,[0.05024865]
reaction_time:599ship_height:500,[0.05223198]
