reaction_time:0ship_height:500,[nan]
reaction_time:328ship_height:500,[0.92206343]
reaction_time:329ship_height:500,[0.91669316]
reaction_time:330ship_height:500,[0.92632179]
reaction_time:331ship_height:500,[0.92390975]
reaction_time:332ship_height:500,[0.9192054]
reaction_time:333ship_height:500,[0.92241203]
reaction_time:334ship_height:500,[0.91609619]
reaction_time:335ship_height:500,[0.92400756]
reaction_time:336ship_height:500,[0.91484334]
reaction_time:337ship_height:500,[0.91951459]
reaction_time:338ship_height:500,[0.91738778]
reaction_time:339ship_height:500,[0.91617064]
reaction_time:340ship_height:500,[0.91709772]
reaction_time:341ship_height:500,[0.92011947]
reaction_time:342ship_height:500,[0.914176]
reaction_time:343ship_height:500,[0.91861676]
reaction_time:344ship_height:500,[0.91226253]
reaction_time:345ship_height:500,[0.91674916]
reaction_time:346ship_height:500,[0.91780946]
reaction_time:347ship_height:500,[0.9160009]
reaction_time:348ship_height:500,[0.91818787]
reaction_time:349ship_height:500,[0.9094049]
reaction_time:350ship_height:500,[0.91053716]
reaction_time:351ship_height:500,[0.91106958]
reaction_time:352ship_height:500,[0.91640573]
reaction_time:353ship_height:500,[0.91291507]
reaction_time:354ship_height:500,[0.90894424]
reaction_time:355ship_height:500,[0.9063122]
reaction_time:356ship_height:500,[0.90748332]
reaction_time:357ship_height:500,[0.90335049]
reaction_time:358ship_height:500,[0.90292747]
reaction_time:359ship_height:500,[0.90272404]
reaction_time:360ship_height:500,[0.90150575]
reaction_time:361ship_height:500,[0.90906536]
reaction_time:362ship_height:500,[0.90713183]
reaction_time:363ship_height:500,[0.90895846]
reaction_time:364ship_height:500,[0.90643566]
reaction_time:365ship_height:500,[0.90456554]
reaction_time:366ship_height:500,[0.90145773]
reaction_time:367ship_height:500,[0.89868532]
reaction_time:368ship_height:500,[0.90497587]
reaction_time:369ship_height:500,[0.88431186]
reaction_time:370ship_height:500,[0.90067747]
reaction_time:371ship_height:500,[0.90025623]
reaction_time:372ship_height:500,[0.89305473]
reaction_time:373ship_height:500,[0.8983382]
reaction_time:374ship_height:500,[0.88663552]
reaction_time:375ship_height:500,[0.90143117]
reaction_time:376ship_height:500,[0.89878336]
reaction_time:377ship_height:500,[0.89163182]
reaction_time:378ship_height:500,[0.89026419]
reaction_time:379ship_height:500,[0.88578349]
reaction_time:380ship_height:500,[0.89577749]
reaction_time:381ship_height:500,[0.88513795]
reaction_time:382ship_height:500,[0.89026975]
reaction_time:383ship_height:500,[0.89119161]
reaction_time:384ship_height:500,[0.87693938]
reaction_time:385ship_height:500,[0.88350381]
reaction_time:386ship_height:500,[0.88158276]
reaction_time:387ship_height:500,[0.88397101]
reaction_time:388ship_height:500,[0.89019098]
reaction_time:389ship_height:500,[0.87992987]
